height,length,class
21.83886790855221,39.95839896729543,2
39.254101320338314,51.01933111307351,0
25.74110196923985,48.16555546152433,1
20.286340085395665,41.78434328982308,2
39.98593250562329,49.0138941758809,0
24.065546542830663,49.377056700037386,1
19.36450869220754,36.92846270283501,2
38.01661461335195,49.28490577828278,0
25.40291034703965,47.104139642118845,1
22.10568490640038,39.93260997299887,2
38.69109354094507,50.80279159435442,0
24.46889280597464,48.401352974557675,1
18.43296973734453,42.68532752706243,2
39.04589157164967,52.13681932545207,0
26.91699580033979,47.564664697217225,1
20.589582360924716,37.00565052738125,2
41.16603034977594,47.26719992647524,0
23.482077782417768,46.3147694214292,1
20.709767887769036,41.060230337828216,2
39.062558654427846,53.196647809358865,0
24.88664685869807,47.72017693887095,1
24.630812695254928,40.6518518958743,2
34.980672974445554,48.89890426807285,0
24.9605783523255,47.96779923489567,1
22.023943205962343,40.28881843023343,2
40.81766124745736,49.823230762189674,0
28.1745325524763,45.68138983968538,1
24.305974758733093,39.12938778672026,2
37.4928266120026,51.49174837896463,0
25.872643166200575,46.72757251781474,1
22.878237979017374,41.335634811281636,2
37.392440290674706,51.48124818578092,0
30.45561955132019,43.9858972115052,1
22.042917579203287,40.434378075178444,2
38.64928996227779,49.364100324600386,0
26.908912037834995,48.31157492834491,1
20.854024625958886,39.85083813943837,2
35.84611058445632,48.794228655691406,0
24.43730218429476,45.45378827143179,1
24.909961917551172,44.54247391814826,1
36.20220700719787,50.09254608812749,0
25.238331199810744,48.721017611226614,1
23.481051938974947,38.57408638266076,2
36.094111302143915,48.331444810582155,0
26.289712718949847,46.66554943890413,1
26.12456609795389,41.771301252470266,2
37.78447838130688,52.315639010769246,0
25.649287674946212,50.39370135022021,1
24.401322410633178,37.2195991412153,2
35.80264163723099,51.336750361814865,0
24.405700984594446,46.99926687038142,1
22.1202188748033,37.89396288082216,2
37.85742400997992,48.261473525028215,0
24.111173640386642,45.72431563013847,1
23.788516531979763,40.792657746102385,2
37.54668180908698,50.613357577530415,0
26.688665637932566,48.54125680481018,1
22.37184085338351,38.839839124412876,2
37.74115773309556,51.400601382401426,0
24.73490778295251,46.915431898182206,1
21.114657169767334,42.85770808076251,2
39.706345573940446,50.541162501780214,0
27.397672461640898,45.59549206360796,1
23.059619675051135,42.735870298834705,2
38.87380798839802,51.20730206426124,0
25.200339011421867,46.858799349518954,1
